Title,Show,Season,Episode,URL,target
Are You The One?,Are You The One?,8,4,https://www.mtv.com/episodes/498kkn, https://www.paramountplus.com/shows/are-you-the-one/
Are You The One?,Are You The One?,8,5,https://www.mtv.com/episodes/7ft5zy, https://www.paramountplus.com/shows/are-you-the-one/
Are You The One?,Are You The One?,8,6,https://www.mtv.com/episodes/ldt49p, https://www.paramountplus.com/shows/are-you-the-one/
Are You The One?,Are You The One?,8,7,https://www.mtv.com/episodes/nxnydz, https://www.paramountplus.com/shows/are-you-the-one/
Are You The One?,Are You The One?,8,8,https://www.mtv.com/episodes/1m46ue, https://www.paramountplus.com/shows/are-you-the-one/
Are You The One?,Are You The One?,8,9,https://www.mtv.com/episodes/1p3wst, https://www.paramountplus.com/shows/are-you-the-one/
Awkward.,Awkward.,,,https://www.mtv.com/episodes/7zjwzy, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,,,https://www.mtv.com/episodes/xcxuwl, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,1,1,https://www.mtv.com/episodes/89fmj0, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,1,10,https://www.mtv.com/episodes/11jr23, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,1,11,https://www.mtv.com/episodes/kefnk1, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,1,12,https://www.mtv.com/episodes/8agn3q, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,1,2,https://www.mtv.com/episodes/i1tf7k, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,1,3,https://www.mtv.com/episodes/ispdjp, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,1,4,https://www.mtv.com/episodes/1rc51c, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,1,5,https://www.mtv.com/episodes/j8a1y3, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,1,6,https://www.mtv.com/episodes/6zpwh4, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,1,8,https://www.mtv.com/episodes/dm5jjm, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,2,1,https://www.mtv.com/episodes/ickhyg, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,2,10,https://www.mtv.com/episodes/pmnmmw, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,2,11,https://www.mtv.com/episodes/2qk05o, https://www.paramountplus.com/shows/awkward/
